ID,project_ID,taskNumber,title,description,technologiesUsed
c0000000-0003-0001-0000-000000000001,b0000000-0000-0000-0003-000000000001,1,Global Template Development,"Developed RAP-based Fiori App for global intercompany cost allocation posting using Fiori Elements (List Report & Object Page). Implemented validations for sender/receiver cost centers belonging to different company codes.","RAP, Fiori Elements, List Report, Object Page, Validations"
c0000000-0003-0002-0000-000000000001,b0000000-0000-0000-0003-000000000001,2,Italian Localization Carry-Forward,"Analyzed and adapted existing enhancement implementations (BADIs) for FatturaPA XML generation (BADI_DOCUMENT_CHANGE) and SDI transmission. Wrapped in extension-enabled classes.","BADI, Enhancement Framework, FatturaPA, XML"
c0000000-0003-0003-0000-000000000001,b0000000-0000-0000-0003-000000000001,3,Spanish VAT BTP Extension,"Built standalone SAP Build Apps application on BTP consuming S/4HANA OData services (A_RegulativeReportingResult) for Spanish VAT reporting with country-specific calculations.","SAP BTP, Build Apps, OData, Spanish VAT"
c0000000-0003-0004-0000-000000000001,b0000000-0000-0000-0003-000000000001,4,Integration Configuration,"Configured and monitored IDoc flows for migrated localized processes ensuring seamless communication with external tax authority systems.","IDocs, IDoc Monitoring, Integration"
c0000000-0004-0001-0000-000000000001,b0000000-0000-0000-0004-000000000001,1,GST Field Extensions,"Extended standard SAP Fiori 'Manage Journal Entries' app using In-App Extensibility to capture mandatory Indian GST fields (GSTIN, HSN Code, Place of Supply). Created CDS View extensions for I_GLAccountLineItem entity.","In-App Extensibility, CDS View Extensions, Fiori Elements"
c0000000-0004-0002-0000-000000000001,b0000000-0000-0000-0004-000000000001,2,Form Development,"Developed Adobe Forms and Smart Forms for Indian GST invoices (GSTR-1) and e-way bills by extending standard SAPscript forms using text modules and programming logic for tax calculations.","Adobe Forms, Smart Forms, SAPscript, Tax Calculation"
c0000000-0004-0003-0000-000000000001,b0000000-0000-0000-0004-000000000001,3,Analytical Reporting,"Created custom Analytical CDS View with India-GST dimensions (State, Tax Code) and exposed via OData service to power SAP Analytics Cloud story for Indian finance team.","Analytical CDS, OData, SAP Analytics Cloud, India GST"
c0000000-0004-0004-0000-000000000001,b0000000-0000-0000-0004-000000000001,4,Payroll Integration,"Built CPI iFlow to extract payroll results from SAP HR formatted for Indian third-party payroll provider with data privacy masking.","SAP CPI, iFlow, HR Payroll, Data Masking"
c0000000-0005-0001-0000-000000000001,b0000000-0000-0000-0005-000000000001,1,Cloud Compliance Code Scan,"Used CL_ABAP_SOURCE_SCAN to find and refactor code using hardcoded file paths, direct OS commands, and unsupported function modules.","ABAP Cloud, CL_ABAP_SOURCE_SCAN, Code Remediation"
c0000000-0005-0002-0000-000000000001,b0000000-0000-0000-0005-000000000001,2,BTP Object Store Integration,"Replaced file system operations with BTP Object Store APIs and approved cloud-ready APIs.","SAP BTP, Object Store API, ABAP Cloud"
c0000000-0005-0003-0000-000000000001,b0000000-0000-0000-0005-000000000001,3,Self-Service Configuration,"Configured SSCUI (Self-Service Configuration UI) for business users to maintain simple configuration post-go-live, reducing IT dependency.","SSCUI, Self-Service, Configuration"
c0000000-0006-0001-0000-000000000001,b0000000-0000-0000-0006-000000000001,1,Performance Baseline Analysis,"Used SQL Monitor (ST05) and Runtime Analysis (SAT) to identify long-running jobs pre-migration and establish performance baselines.","ST05, SAT, SQL Monitor, Performance Analysis"
c0000000-0006-0002-0000-000000000001,b0000000-0000-0000-0006-000000000001,2,Critical Report Optimization,"Rewrote month-end sales aggregation report using CDS Views and pushed calculations to HANA layer in Azure, reducing runtime from 4 hours to 15 minutes.","CDS Views, HANA Optimization, Azure, Performance Tuning"
c0000000-0007-0001-0000-000000000001,b0000000-0000-0000-0007-000000000001,1,Salesforce OData Services,"Developed OData services in S/4HANA (using Service Binding in ADT) to expose Customer, Material, and Sales Order data.","OData, Service Binding, ADT, ABAP"
c0000000-0007-0002-0000-000000000001,b0000000-0000-0000-0007-000000000001,2,Integration Suite Development,"Built iFlow on SAP Integration Suite using OData receiver adapter to call Salesforce REST APIs with comprehensive error handling and Message Mapping using Groovy Script.","SAP Integration Suite, CPI, iFlow, Groovy, Message Mapping"
c0000000-0007-0003-0000-000000000001,b0000000-0000-0000-0007-000000000001,3,AWS S3 Integration,"Created Restful ABAP Programming (RAP) service with uploadAttachment action. Implementation called ABAP HTTP client to push files to AWS S3 bucket via signed URLs.","RAP, HTTP Client, AWS S3, REST API"
c0000000-0008-0001-0000-000000000001,b0000000-0000-0000-0008-000000000001,1,RAP Business Object Creation,"Analyzed legacy Z-tables and built new RAP Business Object (ZR_EQUIPMENT_MAINT) with root and composition child node for maintenance history using Managed Scenario with draft.","RAP, Business Objects, Managed Scenario, Draft"
c0000000-0008-0002-0000-000000000001,b0000000-0000-0000-0008-000000000001,2,Fiori Elements App Generation,"Generated Fiori Elements List Report & Object Page app by binding to RAP service OData endpoint. Used Annotations Local File (manifest.json) to customize UI.","Fiori Elements, List Report, Object Page, manifest.json"
c0000000-0008-0003-0000-000000000001,b0000000-0000-0000-0008-000000000001,3,Geolocation Integration,"Integrated sap.m.VBox with JavaScript to render map (using Leaflet) plotting technician location on Object Page.","UI5, JavaScript, Leaflet, Geolocation"
c0000000-0008-0004-0000-000000000001,b0000000-0000-0000-0008-000000000001,4,Document AI Integration,"Implemented action to upload maintenance photo triggering SAP BTP Document Information Extraction (DoX) service to read text from images (serial numbers) and propose for data entry.","SAP BTP, Document Information Extraction, DoX, AI"
c0000000-0008-0005-0000-000000000001,b0000000-0000-0000-0008-000000000001,5,Fiori Launchpad Configuration,"Configured new app in SAP Fiori Launchpad creating catalog, group, and role assignment for maintenance team.","Fiori Launchpad, Catalogs, Roles"
